lat;lon;name
56.2932273;43.9793514;Уралсиб
56.3153111;44.0129650;Банк Русский стандарт
56.2953800;44.0753201;Сбербанк
56.3500034;43.8672504;Сбербанк
56.3317811;43.8360440;Сбербанк
56.3299851;43.8465982;Сбербанк
56.3442400;43.8382523;Сбербанк
56.3545875;43.8307932;СБРФ
56.3674903;43.8228170;Сбербанк
56.3167184;44.0176045;Банк Возрождение
56.3222082;43.8686837;Сбербанк
56.3370431;43.8839917;Сбербанк
56.2325697;43.8749454;Сбербанк
56.2936811;43.9193153;Сбербанк
56.3131043;43.9926304;НБД-банк
56.3231076;44.0002035;Газпромбанк
56.3299081;43.9178965;Саровбизнесбанк
56.3599464;43.8214567;Сбербанк
56.2906409;43.9975557;ВТБ
56.3328363;43.8807063;ВокБанк
56.3333836;43.8809920;СаровБизнесБанк
56.2762619;43.9862058;Сбербанк
56.3251638;43.9441997;Сбербанк
56.3120966;43.9996249;Уралсиб
56.2523066;43.8667132;Вокбанк
56.2527281;43.8668315;НБД-Банк
56.2424605;43.8486296;НБД-Банк
56.3021969;43.9384162;ВТБ
56.3225025;43.8816682;Сбербанк
56.2974524;44.0345511;Сбербанк
56.3175134;43.9946893;Сбербанк
56.2649399;43.9122327;Сбербанк
56.2490727;43.8505835;Сбербанк
56.2672688;43.9272470;Сбербанк
56.2899132;43.9483833;Сбербанк
56.2333527;43.8211517;Сбербанк
56.2428216;43.8532794;Сбербанк
56.2435341;43.8629761;Сбербанк
56.2616498;43.8771317;Сбербанк
56.2849248;43.9360863;Сбербанк
56.3073914;43.9367150;Сбербанк
56.3135185;43.8831291;Сбербанк
56.3172913;43.8771629;Сбербанк
56.3461800;43.8450623;Сбербанк
56.3543394;43.8641952;Сбербанк
56.3567162;43.8150444;Сбербанк
56.3021338;44.0793301;Сбербанк
56.2416928;43.9649869;Сбербанк
56.2464273;43.8240498;Сбербанк
56.3005010;43.9847915;Сбербанк
56.3109405;43.9918233;Сбербанк
56.3177026;44.0226519;Сбербанк
56.3332238;43.9404738;Сбербанк
56.3348045;43.8741782;Сбербанк
56.3423119;43.9259758;Сбербанк
56.3473937;43.8710382;Сбербанк
56.3582802;43.8563652;Сбербанк
56.3215304;43.9252426;Русский Стандарт
56.2794068;43.9515214;Сбербанк
56.3508265;43.8701772;СаровБизнесБанк
56.2976123;44.0727004;Сбербанк
56.3051556;43.8461786;Сбербанк
56.3166709;44.0251472;ВОК Банк
56.2647566;43.9119913;Интеза
56.2645555;43.9117500;НБД
56.3263167;44.0220913;ВладБизнесБанк
56.3263944;44.0226465;Росбанк
56.3264773;44.0222261;ВТБ
56.3456699;43.8705010;Сбербанк
56.3520978;43.8680321;СаровБизнесБанк
56.3521985;43.8668853;Ак Барс Банк
56.3503107;43.8672715;Банк Траст
56.3518937;43.8679871;ВТБ
56.3521000;43.8669491;ГазпромБанк
56.3513165;43.8680525;ПриватБанк
56.3538336;43.8671582;Райффайзенбанк
56.3514837;43.8680096;Хоум
56.2827276;43.9266484;ВТБ
56.2765600;43.9221387;НБД Банк
56.2761758;43.9217822;Саровбизнесбанк
56.3239367;44.0053688;Ак Барс Банк
56.3300579;43.8537138;Россельхозбанк
56.3043489;43.8716663;Сбербанк
56.3199755;43.8664538;Сбербанк
56.3231210;44.0340187;Новикомбанк
56.2774297;43.9211599;Сбербанк
56.3144500;44.0702330;Сбербанк
56.3192715;44.0261369;Уралсиб
56.3190310;43.9446081;Сбербанк
56.3146870;44.0026544;Райффайзенбанк
56.3149186;44.0020245;ВТБ
56.2364278;43.9539150;Сбербанк
56.2918680;44.0732610;Ак Барс Банк
56.3537673;43.8671936;Ренессанс Кредит
56.3441166;43.9274547;Сбербанк
56.3435949;43.9290043;Срочно деньги
56.3211651;43.9263817;ВТБ
56.3077125;43.9365863;Хоум
56.3165586;44.0185333;Райффайзенбанк
56.3538296;43.8671491;Райффайзенбанк
56.2387333;43.8673015;Райффайзенбанк
56.2299096;43.8206489;Сбербанк
56.2926946;44.0093015;Сбербанк
56.3196490;44.0539790;Сбербанк
56.2979245;44.0287629;Росинкас
56.2906860;43.9978297;Сбербанк
56.3087532;44.0233595;Сбербанк
56.3173403;44.0107060;Кредит Европа банк
56.3198903;44.0129145;ОФК Банк
56.3252130;44.0144439;Банк Россия
56.3250676;44.0151729;ВОК Банк
56.3101444;43.9910181;ББР банк
56.3251389;44.0148152;Авангард
56.3244120;44.0242238;Банк Интеза
56.3249289;44.0144164;Промсвязьбанк
56.3262282;43.9571073;Сбербанк
56.2924410;43.9327322;Сетелем
56.2817330;43.9243602;Почта Банк
56.2925110;43.9327816;Дело и деньги, кредиты
56.2890443;43.9301351;Сбербанк
